pertussis,varicella,measles,mumps,polio,scarletfever
0.004292424,,0.005338033,,,0.014255781
0.004181472,,0.007214543,,,0.01531399
0.003083519,,0.008182433,,,0.015836164
0.011055504,,0.006462275,,,0.012986177
0.008601008,,0.008222718,,,0.009792092
0.005515967,,0.016583256,,,0.010643748
0.012986177,,0.01510421,,,0.014775197
0.01153589,,0.019928655,,,0.034621183
0.006969121,,0.02193221,,,0.028530174
0.006680959,,0.020791429,,,0.026512229
0.020656336,,0.020653939,,,0.026693809
0.02118785,,0.019785916,,,0.024681438
0.012633344,,0.036075855,,,0.025975813
0.009523197,,0.032935568,,,0.028907995
0.008048295,,0.036298622,,,0.068078629
0.008616367,,0.0268381,,,0.050137585
0.006937919,,0.024279024,,,0.047686425
0.021820073,,0.017486157,,,0.046894529
0.013635745,,0.025053595,,,0.035010084
0.00925259,,0.072151709,,,0.033325068
0.009523197,,0.058109251,,,0.038287033
0.006841051,,0.058006622,,,0.086407491
0.007475966,,0.060024997,,,0.06712982
0.005781599,,0.05754531,,,0.064946065
0.017746993,,0.05625981,,,0.054109072
0.011328157,,0.05383311,,,0.050838398
0.013167147,,0.12073774,,,0.049670823
0.007935997,,0.098387143,,,0.05627423
0.008048295,,0.073131048,,,0.139066601
0.007602677,,0.068826739,,,0.112022888
0.007194879,,0.071629827,,,0.087543736
0.031129971,,0.073492544,,,0.065940922
0.007761885,,0.080942385,,,0.06291084
0.006761508,,0.234202121,,,0.062595374
0.005771634,,0.130693369,,,0.065653268
0.006841051,,0.121173342,,,0.157977332
0.002787648,,0.112113997,,,0.113491353
0.002955039,,0.088665385,,,0.093593507
0.009018964,,0.096553998,,,0.057860634
0.003776052,,0.079143666,,,0.041314582
0.006227705,,0.149540237,,,0.034718892
0.004617307,,0.086849205,,,0.029678875
0.006304498,,0.071351704,,,0.052368176
0.003041071,,0.045163039,,,0.032935568
0.005010719,,0.029644554,,,0.020818328
0.005236818,,0.022174475,,,0.013996213
0.003356491,,0.021841596,,,0.013145549
0.003736623,,0.041021738,,,0.014191664
,,,,,
0.001341383,,0.032561999,,,0.031420906
0.002280803,,0.016449158,,,0.022656314
0.00231264,,0.015023484,,,0.023843213
0.007273358,,0.014318375,,,0.018902102
0.00293693,,0.014646717,,,0.021998673
0.003736623,,0.036366789,,,0.018626559
0.000865745,,0.029788858,,,0.026723835
0.001743797,,0.037722098,,,0.066333023
0.001900669,,0.029291044,,,0.048459339
0.00179872,,0.035010084,,,0.044839475
0.007855226,,0.037126406,,,0.040112859
0.001888026,,0.041499032,,,0.043326655
0.001423475,,0.137320995,,,0.047136597
0.00173149,,0.098806705,,,0.051006551
0.002548627,,0.091992097,,,0.121319608
0.000380134,,0.049924637,,,0.089366574
0.003211999,,0.077934325,,,0.085052654
0.006982423,,0.087557497,,,0.081091462
0.00293693,,0.103169421,,,0.078470878
0.004804229,,0.255149392,,,0.083756158
0.002164363,,0.213346961,,,0.090449903
0.001475521,,0.189144292,,,0.216455128
0.001140402,,0.159297107,,,0.158594201
0.00115632,,0.167941092,,,0.141813735
0.005818686,,0.196909334,,,0.133324753
0.001888026,,0.188223166,,,0.120858565
0.003558688,,0.478005075,,,0.119362029
0.003030108,,0.337117567,,,0.123469257
0.002012074,,0.32259511,,,0.32380989
0.003674627,,0.256549146,,,0.209151347
0.00154176,,0.2517775,,,0.175265407
0.003782146,,0.207806505,,,0.145012312
0.00293693,,0.242955636,,,0.124614436
0.004804229,,0.048004162,,,0.108338147
0.004617307,,0.349914189,,,0.116659819
0.004963115,,0.269214783,,,0.341265948
0.003041071,,0.224372284,,,0.220899065
0.003340479,,0.166063156,,,0.112988359
0.007273358,,0.167512317,,,0.071856847
0.005244517,,0.132462856,,,0.068812923
0.008540852,,0.235947727,,,0.051951626
0.002452945,,0.138035693,,,0.046252792
0.00228035,,0.083985048,,,0.070987972
0.002280803,,0.06218936,,,0.039228989
0.003211999,,0.041851135,,,0.02775777
0.00407308,,0.027749771,,,0.018902102
0.00608364,,0.019657436,,,0.016499005
0.004092492,,0.037821461,,,0.011277304
0.002597235,,0.022236753,,,0.011177758
0.00228035,,0.011743672,,,0.02094727
0.003801339,,0.010244651,,,0.017831359
0.00089936,,0.00764588,,,0.015124426
0.001454672,,0.008236233,,,0.013130468
0.005873859,,0.013875837,,,0.015023484
0.004448361,,0.015710453,,,0.018119714
0.003030108,,0.020138946,,,0.013104958
0.004426562,,0.012099541,,,0.04247641
0.002787648,,0.017170612,,,0.022866095
0.003340479,,0.017840388,,,0.022953541
0.007564292,,0.018373136,,,0.023375119
0.001888026,,0.017601757,,,0.01918177
0.00320282,,0.052368176,,,0.027242926
0.005483053,,0.036082279,,,0.020171356
0.003219318,,0.045373278,,,0.055568454
,,,,,
0.003211999,,0.051509089,,,0.039501442
0.008728029,,0.044602372,,,0.040690022
0.005873859,,0.047409111,,,0.037692849
0.004270426,,0.105609155,,,0.03750654
0.004328726,,0.112862011,,,0.039186393
0.005231392,,0.082205704,,,0.098044863
0.00291436,,0.067528122,,,0.075311267
0.008736638,,0.067739817,,,0.064056392
0.01687419,,0.066016579,,,0.053387617
0.010069473,,0.064111508,,,0.049228739
0.00925259,,0.176888062,,,0.049163978
0.00678167,,0.133210737,,,0.047923031
0.008316572,,0.1142339,,,0.102408878
0.010517037,,0.119617121,,,0.091883942
0.015032157,,0.123675469,,,0.068682687
0.018328862,,0.115687402,,,0.059880706
0.013006403,,0.138372935,,,0.050033568
0.007473246,,0.2772604,,,0.044729083
0.009090324,,0.256771563,,,0.048693911
0.011267613,,0.226688455,,,0.086407491
0.0078561,,0.200420002,,,0.068388505
0.011049278,,0.173977313,,,0.066013671
0.032293709,,0.199950405,,,0.04877031
0.022026972,,0.175375168,,,0.044936315
0.011743672,,0.486151236,,,0.03459218
0.009523197,,0.305860245,,,0.035203514
0.011804166,,0.25462416,,,0.071569841
0.006969121,,0.192051132,,,0.046361532
0.007965759,,0.147552077,,,0.036832426
0.015710453,,0.111886063,,,0.021355047
0.008391228,,0.092248623,,,0.014486931
0.008362918,,0.14575809,,,0.013558107
0.007070252,,0.088737231,,,0.007451839
0.007780019,,0.055159671,,,0.026475022
0.005702008,,0.03693846,,,0.015943332
0.005653119,,0.028973862,,,0.015480295
0.007273358,,0.018879981,,,0.009811778
0.00923035,,0.021456156,,,0.007780019
0.004270426,,0.03374838,,,0.00886979
0.005194471,,0.018460701,,,0.010535358
0.006975189,,0.014590623,,,0.01687419
,,,,,
0.010535358,,0.010462784,,,0.017259639
0.010473635,,0.012924551,,,0.018757812
0.011118377,,0.012847998,,,0.015023484
,,,,,
0.005194471,,0.024124779,,,0.018629597
0.004292424,,0.028647442,,,0.04858603
0.003421205,,0.027992426,,,0.039228989
0.007194879,,0.036619743,,,0.041102852
0.006400555,,0.031044264,,,0.037804205
,,,,,
0.008007049,,0.109682236,,,0.041561301
0.005483053,,0.10363166,,,0.046124312
0.003621733,,0.084518851,,,0.102117944
0.002154092,,0.073155465,,,0.077409074
0.004496799,,0.124077883,,,0.095016982
0.008146161,,0.103903252,,,0.072001138
0.005873859,,0.137859015,,,0.079275707
0.00765118,,0.309845043,,,0.087937631
0.004328726,,0.225514241,,,0.079914545
0.001743797,,0.14964285,,,0.183870485
0.004434895,,0.193494041,,,0.154398587
0.002826559,,0.164453497,,,0.114055965
0.010473635,,0.213508513,,,0.099704983
0.007971666,,0.198758524,,,0.090275044
0.00604977,,0.471313586,,,0.089711589
0.00505018,,0.317607963,,,0.090449903
0.003353456,,0.309072093,,,0.206272427
0.005702008,,0.221342176,,,0.171181042
0.007451839,,0.215157757,,,0.122596818
0.012219241,,0.164978091,,,0.110815379
0.007552105,,0.197473724,,,0.089201938
0.006939443,,0.377632737,,,0.072352143
0.004761598,,0.271875773,,,0.076574066
0.008048295,,0.221884226,,,0.158850134
0.006208853,,0.189886769,,,0.120204335
0.003854399,,0.158819691,,,0.066725409
0.021238205,,0.121135987,,,0.070846811
0.010908596,,0.100599822,,,0.067337403
0.009964328,,0.240602676,,,0.044855794
0.007358834,,0.128385782,,,0.029935835
0.006438636,,0.077045605,,,0.05062257
0.004054761,,0.049491764,,,0.030837761
0.004368319,,0.036753881,,,0.022953541
0.012219241,,0.026102524,,,0.01168756
0.012586841,,0.022740956,,,0.011267613
0.007117377,,0.041603607,,,0.010517037
0.004473017,,0.016992236,,,0.010920798
0.004426562,,0.013345082,,,0.021238205
0.003674627,,0.01183185,,,0.012586841
0.0025696,,0.008048295,,,0.009964328
0.01687419,,0.008109522,,,0.010966105
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
0.009250558,,0.024010747,,,0.044127737
,,0.020653939,,,0.038092787
,,0.029293435,,,0.045338729
,,0.086698425,,,0.053218739
,,0.004615175,,,0.050749591
,,0.056761081,,,0.133829784
,,0.058437798,,,0.101533853
,,0.052313918,,,0.080604294
,,0.043335259,,,0.074309792
,,0.05537487,,,0.068410509
,,0.110845973,,,0.064876177
,,0.101533853,,,0.071563347
,,0.094483179,,,0.156231726
,,0.097107747,,,0.113071791
,,0.09054332,,,0.111564883
,,0.106564189,,,0.093500476
,,0.11023582,,,0.08061709
,,0.299662342,,,0.074506235
,,0.213556741,,,0.072077267
,,0.190567767,,,0.187361697
,,0.179786409,,,0.129854246
,,0.16807523,,,0.123308555
,,0.171060233,,,0.091913277
,,0.185782046,,,0.064252223
,,0.338647539,,,0.047136597
,,0.214186083,,,0.043811672
,,0.158361637,,,0.085825622
,,0.116298432,,,0.062724426
,,0.088933661,,,0.037544163
,,0.073492544,,,0.025539482
,,0.064239988,,,0.01381624
,,0.121901477,,,0.011404016
,,0.069647189,,,0.009892958
,,0.039857311,,,0.019492599
,,0.024529446,,,0.013425964
,,,,,
,,0.015965622,,,0.010244651
,,0.012077118,,,0.006572774
,,0.022983811,,,0.005068451
,,0.016153113,,,0.004239839
,,0.01530236,,,0.016292321
,,0.009956069,,,0.015523771
,,0.010060369,,,0.011565738
,,0.010263614,,,0.013130468
,,0.012334078,,,0.016230729
,,0.028802497,,,0.013177973
,,0.023705218,,,0.013490398
,,0.020818328,,,0.035203052
,,0.024096573,,,0.019929165
,,0.020523153,,,0.031672327
,,0.031804532,,,0.023230828
,,0.040599673,,,0.025620406
,,0.118119331,,,0.028510039
,,0.100065389,,,0.022740956
,,0.074554523,,,0.062550877
,,0.071856847,,,0.049088681
,,0.075117421,,,0.036832426
,,0.077293883,,,0.035784133
,,0.078115826,,,0.035814913
,,0.208018033,,,0.038773653
,,0.182089638,,,0.042655352
,,0.15284567,,,0.107354761
,,0.185990916,,,0.081185127
,,0.170221442,,,0.074554523
,,0.195642222,,,0.064065141
,,0.208009082,,,0.072032241
,,0.586232639,,0.002517368,0.063609064
,,0.402988704,,,0.065781748
,,0.334338781,,0.000288582,0.14575809
,,0.005771634,,,0.096499117
,,0.228571582,,,0.085942326
,,0.241258284,,,0.054830526
,,0.21867292,,,0.054862545
,,0.486151236,,,0.05625981
,,0.35935432,,0.000177934,0.050621111
,,0.298218094,,0.000288582,0.102117944
,,0.201430038,,0.000536553,0.06398311
,,0.165392465,,0.001393824,0.046440884
,,0.125064037,,0.00102784,0.042277221
,,0.11062126,,0.004364015,0.038900093
